px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.0001	0.0001	0	0	0	0	0	0	0	0	0	6.9451e-310
0.346278	-0.346254	0	0	0	0	0	0	0	0	0	2.0624
1.52364	-0.123017	0.752005	-1.38778e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.78766
1.62541	0.0174644	1.89928	-0.0908021	-0.0566472	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	6.62804
3.87623	-0.133068	2.22728	-0.0788849	-0.0223642	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.02605
3.94892	0.0725619	2.64906	0.30369	0.173048	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.41732
6.83995	0.411415	3.26039	0.0964128	0.00685583	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.18825
6.7518	0.43632	2.79872	0.131727	0.0343185	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.97265
9.07265	0.594726	2.8811	0.0110813	-0.0688149	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.0624294
9.03664	0.662997	2.7366	0.059785	-0.0404982	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.22728
11.5635	1.65625	2.94589	0.627539	0.345152	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.641049
11.5397	1.61954	2.95235	0.59674	0.318226	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.504069
13.6024	2.33135	2.3529	0.349188	-0.0383521	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.79285
13.6253	2.3054	2.58359	0.29593	-0.114988	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.940752
16.606	2.8997	3.25968	-0.00777827	-0.234831	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.80678
16.5395	2.88474	3.04104	-0.0257017	-0.273931	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.06756
19.0091	3.6955	2.93452	0.397943	0.168242	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.577471
19.0767	3.7196	2.80727	0.454489	0.231492	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.4125
21.3215	4.73184	2.9271	0.421218	0.0600207	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.159938
21.3795	4.74179	3.00798	0.401303	0.0403043	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.793689
24.0609	5.56743	3.27483	0.177927	-0.128859	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.406991
24.1646	5.5997	3.29981	0.161943	-0.141665	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	2.9834
26.607	6.95261	3.25964	0.641648	0.254476	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.438132
26.594	6.9457	3.33809	0.616136	0.21491	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0737528
29.564	8.0835	3.52425	0.240551	-0.170904	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.841392
29.5464	8.07639	3.29961	0.230001	-0.186883	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.25923
31.9437	9.86896	3.29425	0.841436	0.326856	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.735479
31.8995	9.8454	3.34073	0.80664	0.277938	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.677625
34.6152	10.7211	2.60327	0.209671	-0.290297	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.58199
34.7181	10.7736	3.00329	0.219144	-0.249035	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.80843
37.137	12.0776	3.06188	0.623372	0.17215	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.526465
37.2158	12.1004	3.27218	0.594811	0.117686	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.58422
