px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3116	23.9862	3.25823	0.280155	0.0436725	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.990141
66.2129	23.9568	2.60503	0.268459	0.00573895	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.72521
68.2642	24.3605	2.56145	0.193225	-0.0455972	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0171113
68.3507	24.3921	2.65716	0.203562	-0.0360177	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98387
70.814	24.8797	2.90869	0.231788	0.00513881	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.222102
70.7774	24.8648	2.49828	0.206988	-0.0404793	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.648763
72.8925	24.7202	2.50409	-0.160983	-0.24604	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.143397
72.9415	24.737	2.52218	-0.160273	-0.252944	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.676706
75.0043	25.2433	2.16386	0.306787	0.195383	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.893077
74.9923	25.2393	2.14092	0.303211	0.192946	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0363644
77.1124	24.9468	2.24122	-0.358158	-0.343028	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.967572
77.1362	24.9527	2.22077	-0.378976	-0.373475	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.183358
79.0982	25.014	1.88071	0.0732037	0.151243	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.43146
79.1092	25.0171	1.89581	0.0789433	0.156071	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0297021
80.8027	24.8746	2.00842	-0.0378293	-0.0138013	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.114368
80.8482	24.8805	1.8248	-0.094707	-0.110756	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.25197
82.601	24.6367	2.16679	-0.103062	-0.0447745	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.285096
82.5687	24.623	1.91179	-0.196644	-0.204181	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.506378
84.1651	24.5418	1.92294	-0.0102167	0.0334426	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.23985
84.1597	24.5441	1.78854	-0.0366211	-0.0243164	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.206834
85.6395	23.8201	1.85451	-0.544215	-0.317416	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.308962
85.6967	23.8375	1.93554	-0.509658	-0.282206	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.844837
86.956	23.5041	1.31149	-0.319045	-0.00578257	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.845543
87.07	23.5387	1.40509	-0.259034	0.0242113	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.69885
88.7742	22.7945	2.31203	-0.40301	-0.0747925	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.52084
88.6949	22.758	2.10777	-0.615528	-0.350903	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.27285
89.5419	22.2687	0.874136	-0.699503	-0.22423	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.4986
89.624	22.2756	1.07592	-0.560947	-0.00922044	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	1.30088
90.4986	21.6679	1.30002	-0.493374	0.0404725	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.114292
90.5768	21.6875	1.3852	-0.412876	0.091058	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.72095
91.7086	21.1162	1.54739	-0.319724	0.0943833	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0480308
91.7456	21.124	1.42223	-0.426687	-0.110859	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.36658
92.8524	20.94	1.3357	-0.0827458	0.159234	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.321398
92.9042	20.9676	1.17716	-0.064262	0.107402	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.72131
93.5019	20.2488	0.724264	-0.798653	-0.389046	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.54534
93.5814	20.2931	1.03093	-0.559757	-0.0974712	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.67659
95.2349	19.6535	2.33212	0.0819094	0.35474	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	4.32609
95.0146	19.6563	1.47774	-0.115668	0.133542	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	9.01401
95.5392	19.6977	0.838636	0.0988058	0.179175	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.956572
95.5479	19.6991	0.850246	0.101816	0.180993	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0204391
96.263	19.207	0.806467	-0.751628	-0.414963	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.35341
96.3142	19.2386	1.00485	-0.577631	-0.234594	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.756564
97.4737	18.7216	1.71311	-0.188019	0.130168	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.65399
97.4068	18.7194	1.42498	-0.35393	-0.102035	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	1.21259
98.223	18.368	1.1587	-0.340843	-0.041114	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.130184
98.2332	18.3721	1.07536	-0.377778	-0.115019	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.364804
99.0315	17.3803	1.4283	-1.09077	-0.456817	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.606674
99.0465	17.4196	1.42814	-0.748049	-0.0354346	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.861462
99.9875	16.9618	1.07708	-0.406534	0.184561	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.625714
100.06	16.9777	1.08264	-0.365483	0.184424	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.84163
101.178	16.5381	1.52443	-0.177306	0.1854	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.379081
101.139	16.5288	1.28342	-0.294404	0.0363802	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.548553
102.363	16.3913	1.59576	0.0968915	0.239843	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.412737
102.267	16.3844	1.22504	0.0643292	0.206011	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.76549
103.024	15.4015	0.86103	-1.11322	-0.593005	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.66571
102.981	15.4673	1.13154	-0.605837	0.0230524	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.34735
104.082	15.2445	1.29004	0.0684602	0.410332	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.02378
104.039	15.2362	1.26655	0.0273533	0.385925	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.562433
105.519	14.4746	1.68779	-0.822409	-0.335961	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	1.9804
105.472	14.4855	1.73531	-0.695141	-0.181343	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.780504
106.814	14.026	1.46711	-0.266126	0.19718	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.970296
106.767	14.0095	1.52064	-0.274954	0.229405	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.2217
108.075	13.6612	1.66818	-0.0734132	0.212071	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0446119
108.083	13.6623	1.65209	-0.0751213	0.205931	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0366549
109.527	13.572	1.78652	0.0739438	0.171733	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0460648
109.484	13.5662	1.62068	0.0587479	0.157815	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.406429
111.054	12.61	1.77645	-0.919714	-0.520377	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.57628
111.139	12.6652	2.12752	-0.599048	-0.0907392	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.51852
112.899	12.4627	1.70948	0.00366184	0.343609	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.38329
112.9	12.4539	1.80187	0.00238313	0.348994	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.142386
114.779	12.5493	2.19616	0.208835	0.257075	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.442297
114.791	12.5523	2.02374	0.205706	0.266081	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.261072
116.676	12.1195	2.06975	-0.377244	-0.247217	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.909287
116.717	12.1355	2.32538	-0.28982	-0.128464	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.536689
118.929	11.994	2.57652	0.0787292	0.186991	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.664841
118.905	12.0005	2.35806	0.0913817	0.194749	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.280128
120.7	12.2931	2.27728	0.268662	0.183967	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0236291
120.743	12.2971	2.31384	0.266597	0.18219	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.44719
123.519	12.8244	3.13164	0.0305738	-0.0848593	123.568	12.8297	122.95	12.5114	2.29835	0.246599	2.31212
123.432	12.807	2.65338	-0.00940385	-0.136201	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.91461
124.918	12.7724	2.19813	-0.099315	-0.108351	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.754385
125.02	12.7864	2.63015	-0.0631134	-0.0493074	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.43492
127.821	13.3175	3.11578	0.443845	0.302204	127.853	13.3273	127.609	13.2365	2.44434	0.495787	1.34931
127.753	13.316	2.93038	0.473901	0.357726	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.04729
